year,season,date_begin,date_end,net_units,DOCE,DOPE,ONCLHE,ONMY,SAFO,GIEL,CYCA,XYTE,AMME,AMNA,ICPU,LECY,LEMA,MIDO,MISA,PONI,MOSA
1980,spring,3/12/1980,3/15/1980,12.00,0,0,0,26,0,0,247,31,0,0,30,0,0,0,71,2,0
1981,spring,3/8/1981,3/12/1981,47.00,0,2,11,198,0,8,453,148,0,0,30,0,0,0,49,1,0
1981,autumn,11/21/1981,11/25/1981,26.76,0,17,3,30,3,0,41,60,0,0,40,0,0,0,26,1,6
1983,spring,3/11/1983,3/17/1983,55.59,0,0,25,298,0,1,673,187,0,0,70,0,0,0,55,1,16
1983,autumn,11/20/1983,11/25/1983,16.72,0,0,0,8,1,0,44,59,0,0,5,1,3,0,85,3,0
1984,spring,2/21/1984,2/26/1984,35.07,0,0,0,4,0,0,101,100,0,0,24,0,0,0,13,0,3
1984,spring,3/11/1984,3/15/1984,10.03,0,0,0,0,0,0,76,37,0,0,3,0,0,0,13,0,1
1984,autumn,11/1/1984,11/5/1984,14.21,0,0,0,15,0,0,29,152,0,0,10,0,1,0,20,0,4
1984,autumn,11/29/1984,12/2/1984,20.06,0,0,0,26,0,0,45,84,0,0,7,0,0,0,5,0,2
1985,spring,3/18/1985,3/22/1985,9.54,0,0,0,288,0,1,326,187,0,0,41,1,0,0,22,0,5
1985,autumn,10/25/1985,10/27/1985,15.05,0,0,0,32,0,0,70,81,0,0,10,0,1,0,78,0,7
1985,autumn,12/4/1985,12/8/1985,40.13,0,1,0,58,0,0,95,172,0,0,24,0,0,0,6,0,0
1986,spring,3/24/1986,3/28/1986,53.44,0,18,0,30,0,1,431,49,0,0,57,4,0,0,73,0,0
1986,autumn,12/3/1986,12/7/1986,31.77,0,0,0,41,0,0,55,188,0,0,16,0,0,0,8,0,25
1987,spring,3/8/1987,3/11/1987,30.10,0,0,0,131,0,0,283,157,0,0,20,1,0,0,21,0,25
1987,autumn,11/25/1987,11/28/1987,18.37,0,0,0,127,0,0,68,52,0,0,17,0,1,0,9,0,12
1988,spring,3/13/1988,3/19/1988,50.92,0,0,0,81,0,0,773,190,0,0,55,0,1,0,26,0,14
